id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,2138,1,1,48545,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,2136,1,6,42671,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,2142,1,6,43033,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,2145,1,9,82592,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,1625,2,10,29307,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,1625,2,6,29307,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
7,845,3,10,64469,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
8,871,3,10,90042,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
9,846,3,1,72334,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
10,862,3,10,49493,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
11,866,3,5,45712,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
12,1334,4,10,2385,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
13,1302,4,10,35584,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
14,1335,4,5,44000,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
15,1320,4,1,73254,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
16,1927,5,9,71292,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
17,1941,5,2,67834,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
18,1919,5,4,7298,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
19,1909,5,7,48622,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
20,1907,5,6,2213,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
21,1948,5,7,40837,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
22,768,6,7,70871,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
23,763,6,6,3373,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
24,1454,7,8,9801,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
25,1459,7,7,94918,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
26,1457,7,9,79552,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
27,1458,7,5,42501,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
28,1459,7,2,94918,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
29,1463,7,10,98771,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
30,1460,7,8,92034,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
31,1175,8,9,42890,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
32,1174,8,5,1848,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
33,1174,8,5,1848,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
34,1174,8,5,1848,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
35,1175,8,9,42890,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
36,1174,8,5,1848,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
37,1174,8,2,1848,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
38,1174,8,3,1848,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
39,2211,9,1,43768,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
40,2197,9,6,6057,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
41,2228,9,5,98500,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
42,2229,9,8,65167,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
43,2232,9,7,47217,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
44,2214,9,6,13571,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
45,2213,9,7,15921,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
46,803,10,3,16875,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
47,805,10,10,79776,2012-02-26 20:56:57 UTC,2012-02-26 20:56:57 UTC
